record_id,Make,Model,Damage,Defect,Loading,Maneuver,driverVehicle_id,Plate number,Vehicle type,Engine number,Chassis number,Classification,Insurance details,same
1cfe5192-0eb7-4acf-b0f4-4fc5ad33fb37,,,,,,,23fcc5f7-960f-40c2-a4e5-13b620a2962e,,Car,,,,,1cfe5192-0eb7-4acf-b0f4-4fc5ad33fb37
1cfe5192-0eb7-4acf-b0f4-4fc5ad33fb37,,,,,,,7f49be22-8487-4a01-9306-1abd696f3f39,,Motorcycle,,,,,1cfe5192-0eb7-4acf-b0f4-4fc5ad33fb37
1e76f15e-abfb-4a50-8780-4fcadc9b6431,,,Front,None,Legal,Going ahead,3986fc35-3a1e-4256-b679-8f62bd8ef83c,,SUV,,,Private,,1e76f15e-abfb-4a50-8780-4fcadc9b6431
1e93ec7e-7739-4c1d-9033-ffe9c541e38d,,,,,,,01b71b08-b6de-4ff7-9c70-82e5b244a11a,,Motorcycle,,,Private,,1e93ec7e-7739-4c1d-9033-ffe9c541e38d
1edf13c2-41d4-45a6-b5c4-a056a2604e8b,NISSAN NAVARRA PICK-UP ,,None,None,,Cross traffic,6d5c7436-3750-4af7-b9d2-6a1972a616ea,no,Truck (Pick-Up),,,Private,,1edf13c2-41d4-45a6-b5c4-a056a2604e8b
202c0b54-f28d-41d0-8df5-2aa1b21d2a0f,,,None,None,Legal,Going ahead,5e68d7c8-61ee-4b83-8da7-a96c9893154e,,Tricycle,,,Private,,202c0b54-f28d-41d0-8df5-2aa1b21d2a0f
202ea568-69d9-45ed-b89d-00b130c2029e,TOYOTA,HILUX PICK-UP,Multiple,None,Legal,Going ahead,52e66f9a-3520-4c27-8447-dfd2d145073d,SFP630,Truck (Pick-Up),3I-5335820,JTFDE6961-00104310,Government,,202ea568-69d9-45ed-b89d-00b130c2029e
202ea568-69d9-45ed-b89d-00b130c2029e,YAMAHA,MIO 125,Multiple,None,Legal,Going ahead,fbc2d476-8fde-466c-a1f3-2564a6263665,FOR REGISTRATION,Motorcycle,NONE,NONE,Private,,202ea568-69d9-45ed-b89d-00b130c2029e
204b9170-57a1-4a91-8e3f-dbbd7ec138e0,tractor head truck,,,,,,c97231e5-ec79-4086-ae79-6b28aeaeade6,UE-511 ,Truck (Unknown),,,Private,,204b9170-57a1-4a91-8e3f-dbbd7ec138e0
204b9170-57a1-4a91-8e3f-dbbd7ec138e0,honda  ,,,,,Sudden stop,9d76891f-1766-41da-938b-592429900ca9,100-455171,Motorcycle,,,Private,,204b9170-57a1-4a91-8e3f-dbbd7ec138e0
